TimeStamp,Open,High,Low,Close,Volume,DataTime
1589328000000,8808.71,9397.00,8790.04,9305.91,379719.000,2020-05-13 08:00:00
1589414400000,9305.91,9950.00,9250.66,9786.80,602528.438,2020-05-14 08:00:00
1589500800000,9787.62,9843.50,9100.00,9310.73,504107.096,2020-05-15 08:00:00
1589587200000,9311.21,9585.00,9210.03,9374.99,287768.201,2020-05-16 08:00:00
1589673600000,9374.99,9880.00,9317.16,9678.57,300859.340,2020-05-17 08:00:00
1589760000000,9677.31,9958.67,9450.00,9731.10,363732.370,2020-05-18 08:00:00
1589846400000,9731.11,9900.00,9462.00,9773.64,376313.845,2020-05-19 08:00:00
1589932800000,9772.66,9838.00,9281.42,9508.11,334423.590,2020-05-20 08:00:00
1590019200000,9508.00,9573.00,8812.20,9060.00,461439.193,2020-05-21 08:00:00
1590105600000,9060.00,9259.38,8920.00,9166.40,276008.073,2020-05-22 08:00:00
1590192000000,9166.43,9300.00,9076.90,9176.41,201589.660,2020-05-23 08:00:00
1590278400000,9176.32,9294.44,8674.00,8711.37,339643.378,2020-05-24 08:00:00
1590364800000,8711.37,8977.00,8623.38,8895.65,302980.106,2020-05-25 08:00:00
1590451200000,8895.66,9011.82,8693.18,8837.05,275619.158,2020-05-26 08:00:00
1590537600000,8837.88,9230.00,8811.00,9197.32,272253.998,2020-05-27 08:00:00
1590624000000,9197.32,9621.65,9110.97,9569.59,327412.374,2020-05-28 08:00:00
1590710400000,9569.58,9598.00,9317.42,9422.26,238691.299,2020-05-29 08:00:00
1590796800000,9422.11,9753.00,9326.01,9695.00,255234.058,2020-05-30 08:00:00
1590883200000,9694.38,9698.00,9371.76,9446.43,219829.356,2020-05-31 08:00:00
1590969600000,9446.49,10497.25,9420.85,10232.48,333740.457,2020-06-01 08:00:00
1591056000000,10232.41,10262.30,9264.15,9514.90,354168.517,2020-06-02 08:00:00
1591142400000,9514.90,9694.75,9382.33,9663.59,185389.412,2020-06-03 08:00:00
1591228800000,9663.58,9884.00,9440.00,9788.33,264515.319,2020-06-04 08:00:00
1591315200000,9788.32,9855.00,9580.52,9617.29,237103.042,2020-06-05 08:00:00
1591401600000,9616.64,9738.77,9528.00,9664.00,152526.703,2020-06-06 08:00:00
1591488000000,9664.01,9823.13,9373.00,9743.92,253986.313,2020-06-07 08:00:00
1591574400000,9743.92,9816.00,9631.00,9778.87,162086.419,2020-06-08 08:00:00
1591660800000,9778.87,9890.00,9550.03,9771.66,204422.819,2020-06-09 08:00:00
1591747200000,9771.66,10015.99,9681.21,9884.99,193628.149,2020-06-10 08:00:00
1591833600000,9884.99,9970.10,9055.07,9278.03,404046.613,2020-06-11 08:00:00
1591920000000,9277.72,9550.00,9238.00,9458.91,211611.340,2020-06-12 08:00:00
